method,sample_pct,recall_mean,recall_std,precision_mean,igd_mean,hv_diff_mean
ActiveLearning,5,0.1339,0.2158,0.1382,0.1653,0.0909
ActiveLearning,10,0.1535,0.2236,0.1725,0.13,0.068
ActiveLearning,20,0.2695,0.3213,0.2896,0.0999,0.0423
ActiveLearning,30,0.3089,0.3394,0.3365,0.0789,0.0305
Clustering,5,0.1366,0.2149,0.0667,0.1426,0.087
Clustering,10,0.1746,0.1911,0.1743,0.1243,0.0529
Clustering,20,0.3072,0.2201,0.2993,0.099,0.0394
Clustering,30,0.2915,0.2416,0.3577,0.0787,0.0281
Diversity,5,0.1458,0.1794,0.2349,0.1446,0.0709
Diversity,10,0.2239,0.1991,0.3532,0.106,0.0483
Diversity,20,0.3391,0.2455,0.4848,0.0778,0.0331
Diversity,30,0.4063,0.2331,0.5704,0.0647,0.0338
LHS,5,0.0909,0.1453,0.0916,0.1648,0.0934
LHS,10,0.102,0.15,0.1152,0.1382,0.0688
LHS,20,0.1569,0.1877,0.1786,0.1157,0.0475
LHS,30,0.204,0.1975,0.2558,0.1071,0.0369
NSGA-II,5,0.1582,0.1666,0.2775,0.1326,0.1378
NSGA-II,10,0.3214,0.2029,0.4729,0.0826,0.0805
NSGA-II,20,0.6107,0.2134,0.7295,0.043,0.031
NSGA-II,30,0.9086,0.1226,0.9413,0.0062,0.0094
NoModel,5,0.0643,0.1096,0.1665,0.1962,0.218
NoModel,10,0.0874,0.1237,0.1902,0.1596,0.1686
NoModel,20,0.2011,0.1705,0.3336,0.1129,0.1073
NoModel,30,0.2801,0.1901,0.395,0.0903,0.0852
Random,5,0.1267,0.1701,0.1276,0.1496,0.0891
Random,10,0.1659,0.1948,0.1807,0.1198,0.057
Random,20,0.2348,0.2054,0.2933,0.097,0.0458
Random,30,0.3287,0.1999,0.4047,0.09,0.0376
SWAY,5,0.2507,0.3371,0.4251,0.1396,0.1324
SWAY,10,0.3216,0.3728,0.4745,0.1248,0.115
SWAY,20,0.4508,0.3952,0.5918,0.0995,0.0757
SWAY,30,0.6599,0.3342,0.7639,0.0654,0.0378
Sobol,5,0.0847,0.1496,0.0635,0.1649,0.0856
Sobol,10,0.092,0.1469,0.0884,0.1315,0.0693
Sobol,20,0.1407,0.173,0.1827,0.1147,0.0486
Sobol,30,0.1913,0.184,0.2326,0.0934,0.0382
Stratified,5,0.1477,0.1892,0.1467,0.1546,0.0887
Stratified,10,0.1944,0.194,0.2029,0.1206,0.0592
Stratified,20,0.2305,0.1947,0.2954,0.1065,0.0485
Stratified,30,0.3205,0.2052,0.3852,0.0843,0.0386
